distortion_type,condition,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1,restoration_improvement,finetuning_improvement
salt_pepper,Salt & Pepper L4,0.8426666666666667,0.7446666666666667,0.8206666666666667,0.7870476190476191,0.07599999999999996,0.04238095238095241
overexposure,Overexposure L3,0.8426666666666667,0.846,0.8366666666666667,0.836,-0.009333333333333305,-0.010000000000000009
motion_blur,Motion Blur L4,0.8426666666666667,0.7146666666666667,0.6846666666666666,0.8320000000000001,-0.030000000000000027,0.1173333333333334
