sample_idx,target_class,distortion_type,distorted_snr,restored_snr,clean_canny_iou,distorted_canny_iou,restored_canny_iou,clean_grabcut_iou,distorted_grabcut_iou,restored_grabcut_iou,clean_dl_f1,distorted_dl_f1,restored_dl_f1
3,cow,salt_pepper,11.94717025756836,19.51753807067871,1.0,0.23660034943357944,0.11429271537088248,0.49984281672430053,0.024364406779661018,0.4919332012454005,0.0,0.0,0.6666666666666666
3,cow,overexposure,2.103576898574829,7.732004165649414,1.0,0.21543544817969626,0.20806413017468295,0.49984281672430053,0.003126085446335533,0.024877149877149878,0.0,0.0,0.0
3,cow,motion_blur,19.21923065185547,14.695844650268555,1.0,0.1337308039747064,0.16227390180878554,0.49984281672430053,0.4600389863547758,0.0,0.0,0.0,0.0
4,tvmonitor,salt_pepper,12.017316818237305,21.07304573059082,1.0,0.17000162680982592,0.3557800224466891,0.8861523794391039,0.8780127103401415,0.9439553219448095,1.0,1.0,1.0
4,tvmonitor,overexposure,3.8710250854492188,6.764531135559082,1.0,0.3251328596166478,0.31413427561837454,0.8861523794391039,0.4579683923406938,0.6484226030009337,1.0,1.0,1.0
4,tvmonitor,motion_blur,18.718568801879883,15.78883171081543,1.0,0.27654286897694325,0.2033798477709315,0.8861523794391039,0.8874642183439524,0.8243917985764369,1.0,1.0,1.0
21,cow,salt_pepper,11.505178451538086,14.036940574645996,1.0,0.37807269280214,0.09581020300660481,0.9326547231270358,0.029617164493058477,0.9188237221494102,1.0,0.0,0.0
21,cow,overexposure,1.4121286869049072,9.028926849365234,1.0,0.25945036247965675,0.2614148029620809,0.9326547231270358,0.0003360779700890607,0.7651446092649374,1.0,0.0,0.0
21,cow,motion_blur,13.630855560302734,10.387020111083984,1.0,0.09762231850364578,0.15506899552461462,0.9326547231270358,0.9498648316539691,0.891255343956471,1.0,0.0,0.0
22,bus,salt_pepper,11.152336120605469,20.951915740966797,1.0,0.14432434311135828,0.3355637594216274,0.8656707996558193,0.9043524759720248,0.8845263959820547,0.6666666666666666,1.0,0.5
22,bus,overexposure,0.7511537075042725,7.486415386199951,1.0,0.4069525788777631,0.3972149369301861,0.8656707996558193,0.38906005993331366,0.8888827033346323,0.6666666666666666,0.6666666666666666,1.0
22,bus,motion_blur,19.924358367919922,14.959247589111328,1.0,0.32881189736885114,0.15424252834077637,0.8656707996558193,0.9253506661601879,0.9262434711604792,0.6666666666666666,0.5,0.5
25,dog,salt_pepper,7.612060546875,21.669435501098633,1.0,0.0800991940483571,0.3506363027461487,0.7704213241616509,0.02512646617377286,0.8615483801644013,1.0,0.6666666666666666,1.0
25,dog,overexposure,-0.5324447154998779,6.801608085632324,1.0,0.38625281320330085,0.347499352163773,0.7704213241616509,0.8721987658330627,0.794173931533064,1.0,1.0,1.0
25,dog,motion_blur,17.678117752075195,16.20468521118164,1.0,0.13901043419724,0.09331206562606813,0.7704213241616509,0.6877033875700187,0.6731870229007634,1.0,0.6666666666666666,0.6666666666666666
29,chair,salt_pepper,11.703624725341797,20.801090240478516,1.0,0.16656420099266744,0.30642467431243736,0.8724472715098761,0.6712099673885776,0.8598785906502284,0.5,0.4,0.3333333333333333
29,chair,overexposure,1.8358376026153564,8.194703102111816,1.0,0.38082107843137253,0.3500285116897928,0.8724472715098761,0.749272479849262,0.9448074458474274,0.5,0.6666666666666666,0.6666666666666666
29,chair,motion_blur,18.822071075439453,16.151506423950195,1.0,0.17946122265339406,0.1661676032651052,0.8724472715098761,0.6365811401699529,0.5581831594477816,0.5,0.5,0.0
33,boat,salt_pepper,12.02436637878418,23.68507194519043,1.0,0.17490502503885338,0.33855601921108575,0.6246851877159759,0.6145529568132675,0.5640610233562846,1.0,1.0,1.0
33,boat,overexposure,5.1436872482299805,5.905935764312744,1.0,0.24295099122144062,0.23100604089219332,0.6246851877159759,0.4175748894563119,0.5871011108752565,1.0,1.0,0.0
33,boat,motion_blur,21.452869415283203,17.793901443481445,1.0,0.2743095845903922,0.1783362653933149,0.6246851877159759,0.6315244288427231,0.5821928707829408,1.0,0.0,0.0
34,bird,salt_pepper,13.119407653808594,26.319753646850586,1.0,0.0655664130235215,0.38345713712106005,0.7783937668564579,0.8802064791740833,0.7734246983464919,1.0,1.0,1.0
34,bird,overexposure,4.858469009399414,7.080231189727783,1.0,0.5634685704335713,0.5665392317494994,0.7783937668564579,0.8010323791647114,0.8036529680365296,1.0,1.0,1.0
34,bird,motion_blur,22.085725784301758,20.743194580078125,1.0,0.13886334375574766,0.13724483245602773,0.7783937668564579,0.4686905301314001,0.7064923994885637,1.0,1.0,1.0
40,sofa,salt_pepper,12.98991584777832,22.075502395629883,1.0,0.1463997379525617,0.30579281183932344,0.9950780480945015,0.9882661079099004,0.9836167997223186,1.0,1.0,0.5
40,sofa,overexposure,5.912755966186523,6.346874713897705,1.0,0.3638263665594855,0.3580803937653815,0.9950780480945015,0.1645039478201167,0.8114657010389522,1.0,1.0,0.6666666666666666
40,sofa,motion_blur,19.468708038330078,16.765045166015625,1.0,0.22384350196424277,0.1257137182860831,0.9950780480945015,0.9894403011082457,0.9577391304347826,1.0,0.0,0.0
44,cat,salt_pepper,8.830888748168945,14.581592559814453,1.0,0.12384502644491174,0.09204141054674862,0.8174621928166351,0.8396955934699889,0.8755701976685251,1.0,0.0,1.0
44,cat,overexposure,-0.867245078086853,7.246821403503418,1.0,0.24646431229840376,0.19207068566398228,0.8174621928166351,0.7426004837037891,0.7684433069989985,1.0,0.0,0.0
44,cat,motion_blur,15.158302307128906,12.061595916748047,1.0,0.16271005601493732,0.09037182959862103,0.8174621928166351,0.8124392614188533,0.8647035415837644,1.0,0.0,0.0
51,person,salt_pepper,7.30388069152832,13.206174850463867,1.0,0.22451265964597805,0.3055813953488372,0.8829055449449543,0.8856736613490415,0.8889721142892811,1.0,1.0,1.0
51,person,overexposure,0.7079604864120483,7.189057350158691,1.0,0.4259058149866719,0.41633675770483586,0.8829055449449543,0.8612686794754498,0.917630531491454,1.0,1.0,1.0
51,person,motion_blur,10.255337715148926,9.26919174194336,1.0,0.11379018612521151,0.12837521792745674,0.8829055449449543,0.8669536599441611,0.8299846399702109,1.0,1.0,1.0
52,person,salt_pepper,10.021323204040527,20.60845375061035,1.0,0.15808638874937217,0.2853512808186251,0.3305849881879634,0.321259679442188,0.32173376115025415,1.0,0.6666666666666666,1.0
52,person,overexposure,0.7693169116973877,6.8976287841796875,1.0,0.263147792706334,0.24027946537059539,0.3305849881879634,0.20744743058966622,0.3164320709230889,1.0,1.0,1.0
52,person,motion_blur,17.358642578125,16.131866455078125,1.0,0.04896077283372365,0.11114011275840467,0.3305849881879634,0.3091878717409776,0.32134382415386537,1.0,1.0,1.0
55,person,salt_pepper,9.290703773498535,20.709461212158203,1.0,0.1503828861196083,0.45206887689539965,0.8372781065088757,0.6596531497067075,0.8531000771803448,1.0,1.0,1.0
55,person,overexposure,-0.3339153230190277,10.109471321105957,1.0,0.46868166198063105,0.44902502686933826,0.8372781065088757,0.4854643684075122,0.5341787439613527,1.0,1.0,1.0
