model,condition,distortion_type,severity_level,severity_label,params,mean_snr,f1_samples,f1_micro,f1_macro,exact_match
fine_tuned_resnet50,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",0.1316232095770829,0.7573214285714286,0.7536,0.7432614684231421,0.4875
clean_trained_resnet50,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.6027678571428571,0.6608695652173913,0.6087103359339366,0.3925
fine_tuned_resnet50,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.6854107142857143,0.706953642384106,0.6788763323597702,0.4225
clean_trained_resnet50,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8211428571428572,0.8090452261306532,0.7942465998925707,0.59
fine_tuned_resnet50,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8336369047619047,0.8086816720257235,0.8052351098489329,0.585
clean_trained_resnet50,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8004583333333334,0.7958833619210978,0.776628103849817,0.56
fine_tuned_resnet50,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8167440476190475,0.8003259983700082,0.7915401812112127,0.57
clean_trained_resnet50,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.7574285714285713,0.7653880463871543,0.7403899059382909,0.5375
fine_tuned_resnet50,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.7889940476190476,0.7753446877534469,0.7645536711459346,0.535
clean_trained_resnet50,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.7053928571428572,0.7264239028944911,0.6624047711337229,0.5175
fine_tuned_resnet50,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.7583988095238096,0.7518672199170124,0.7349592967471434,0.5
clean_trained_resnet50,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.6023928571428572,0.6559031281533805,0.5586908426880769,0.435
fine_tuned_resnet50,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.6900178571428571,0.6998284734133791,0.6625734834363333,0.4475
clean_trained_resnet50,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.44658333333333333,0.5279642058165548,0.39283594014728423,0.295
fine_tuned_resnet50,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.5619821428571429,0.6086956521739131,0.5170915427765012,0.32
