distortion_type,condition,severity_level,evaluation_images,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1,restoration_improvement,finetuning_improvement
salt_pepper,Salt & Pepper L4,4,400,0.851077385917306,0.7201309568434954,0.8054583383351565,0.8098154812306165,0.08532738149166108,0.08968452438712116
overexposure,Overexposure L3,3,400,0.851077385917306,0.8431071477383375,0.8288809571415185,0.8484345285594463,-0.014226190596818955,0.00532738082110884
motion_blur,Motion Blur L4,4,400,0.851077385917306,0.7012023866176605,0.7090357197076083,0.8194900849461555,0.007833333089947714,0.11828769832849495
