distortion_type,level_name,sample_idx,distorted_grabcut_iou,restored_grabcut_iou,distorted_dl_f1,restored_dl_f1,relative_dist_gc,relative_rest_gc,relative_dist_dl,relative_rest_dl
clean,clean,114.58,0.6566096987540844,0.6639116422631391,0.8506666666666667,0.8506666666666667,1.0153868732743612,1.0266786613831171,1.0,1.0
motion_blur,motion_blur_L1,114.58,0.668468953104195,0.5080295022474958,0.8154285714285714,0.7926666666666666,1.033726125979238,0.7856211822594649,0.9585759068517689,0.9318181818181818
motion_blur,motion_blur_L2,114.58,0.6172529733287591,0.5029183300460407,0.754095238095238,0.7206666666666667,0.9545252953114298,0.7777172217023028,0.886475593372145,0.8471786833855799
motion_blur,motion_blur_L3,114.58,0.5923912133376983,0.4986193647591442,0.6966666666666668,0.6633333333333333,0.9160788562939712,0.7710692648882935,0.8189655172413794,0.7797805642633229
motion_blur,motion_blur_L4,114.58,0.5755427118063303,0.5123649515399823,0.6246666666666667,0.6146666666666667,0.8900241889295446,0.7923255582528297,0.7343260188087775,0.7225705329153606
motion_blur,motion_blur_L5,114.58,0.5532525501067522,0.4824013494960498,0.5833333333333334,0.5313333333333333,0.8555544915798696,0.745989586900051,0.6857366771159875,0.6246081504702194
motion_blur,motion_blur_L6,114.58,0.5243960650378178,0.462084939373008,0.35,0.41,0.8109305754186688,0.7145721159273583,0.41144200626959243,0.48197492163009403
overexposure,overexposure_L1,114.58,0.6596165300780172,0.6171671680754622,0.8593333333333334,0.85,1.0200366630387598,0.9543926053313383,1.0101880877742948,0.9992163009404388
overexposure,overexposure_L2,114.58,0.6442692174679496,0.5800845886295452,0.7966666666666667,0.8106666666666666,0.9963034471056564,0.8970477862280192,0.9365203761755486,0.9529780564263323
overexposure,overexposure_L3,114.58,0.5390121915895424,0.5209403092171048,0.7993333333333333,0.7626666666666666,0.8335330789560044,0.8055865649597133,0.9396551724137931,0.8965517241379309
overexposure,overexposure_L4,114.58,0.5237755151483944,0.49893706797505066,0.7893333333333333,0.7626666666666666,0.809970951744014,0.771560563867947,0.9278996865203761,0.8965517241379309
overexposure,overexposure_L5,114.58,0.3909785275951719,0.41324090223165627,0.716,0.6593333333333333,0.6046125505084243,0.6390392777052586,0.8416927899686519,0.7750783699059561
overexposure,overexposure_L6,114.58,0.31218435887741686,0.31020196933055133,0.6226666666666667,0.5693333333333332,0.48276457178013865,0.47969898757170704,0.731974921630094,0.6692789968652036
salt_pepper,salt_pepper_L1,114.58,0.6285635154601104,0.6694518001278227,0.8540000000000001,0.8106666666666666,0.9720160147320882,1.0352460090515136,1.0039184952978057,0.9529780564263323
salt_pepper,salt_pepper_L2,114.58,0.5435591077234758,0.6823914986940127,0.8640000000000001,0.804,0.8405644690878222,1.055256069964667,1.0156739811912228,0.945141065830721
salt_pepper,salt_pepper_L3,114.58,0.5045863158237792,0.6728117995602623,0.768,0.804,0.7802966092238971,1.0404419410098478,0.9028213166144201,0.945141065830721
salt_pepper,salt_pepper_L4,114.58,0.4711221604567873,0.6769890269958555,0.7,0.7897142857142857,0.7285473521700756,1.0469016413658296,0.8228840125391849,0.9283475145544111
salt_pepper,salt_pepper_L5,114.58,0.4549140066589068,0.6687994300818457,0.6033333333333334,0.7486666666666666,0.7034829240362725,1.0342371784136792,0.7092476489028213,0.8800940438871472
salt_pepper,salt_pepper_L6,114.58,0.3268246671309241,0.6704497476600147,0.4766666666666666,0.6766666666666667,0.5054044701086419,1.036789243679828,0.5603448275862069,0.7954545454545455
