condition,distortion_type,precision,recall,f1_score,exact_match
clean,clean,0.8,0.8391608391608392,0.8191126279863481,0.6066666666666667
salt_pepper_low,salt_pepper,0.802784222737819,0.8065268065268065,0.8046511627906977,0.6066666666666667
salt_pepper_medium,salt_pepper,0.7961165048543689,0.7645687645687645,0.7800237812128419,0.56
salt_pepper_high,salt_pepper,0.8554913294797688,0.6899766899766899,0.7638709677419355,0.5366666666666666
overexposure,overexposure,0.8068181818181818,0.8275058275058275,0.8170310701956272,0.5933333333333334
motion_blur_low,motion_blur,0.7580299785867237,0.8251748251748252,0.7901785714285714,0.5533333333333333
motion_blur_medium,motion_blur,0.7562189054726368,0.7086247086247086,0.7316486161251504,0.49333333333333335
motion_blur_high,motion_blur,0.747093023255814,0.5990675990675991,0.6649417852522639,0.42333333333333334
