epoch,train_loss,val_loss,layer3_lr,layer4_lr,fc_lr
1,0.10426674308379491,0.10355575650930404,5e-06,2e-05,0.0001
2,0.09505158454179764,0.09966829955577851,5e-06,2e-05,0.0001
3,0.08965359476539823,0.09740190982818603,5e-06,2e-05,0.0001
4,0.08417611580755975,0.0944553168118,5e-06,2e-05,0.0001
5,0.08172914659314685,0.09294412687420844,5e-06,2e-05,0.0001
6,0.07738482829597261,0.09327614933252334,5e-06,2e-05,0.0001
7,0.0740644609398312,0.09298618569970131,2.5e-06,1e-05,5e-05
8,0.06963031978739632,0.09202879562973976,2.5e-06,1e-05,5e-05
