sample_index,condition,distortion_type,severity_level,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1
3628,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2122,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3280,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5470,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.0,0.0
3283,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.6666666865348816,1.0
3647,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
944,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2878,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.0,1.0
5549,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
4498,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4413,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
5430,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.5,1.0
1777,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2474,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.4000000059604645,0.6666666865348816,0.8571428656578064
1441,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
623,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1107,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5694,Salt & Pepper L4,salt_pepper,4,1.0,0.4000000059604645,0.800000011920929,0.5
3759,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2457,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.800000011920929
954,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.800000011920929,1.0
3245,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,1.0
4372,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
4995,Salt & Pepper L4,salt_pepper,4,0.8571428656578064,0.4000000059604645,0.6666666865348816,0.8571428656578064
3404,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5784,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.6666666865348816
4730,Salt & Pepper L4,salt_pepper,4,0.4000000059604645,0.0,0.5,0.0
593,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
864,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
851,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1053,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,0.6666666865348816
5067,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
1553,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2871,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5566,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.800000011920929
4735,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,1.0
145,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2181,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1749,Salt & Pepper L4,salt_pepper,4,0.5714285969734192,0.800000011920929,0.4000000059604645,0.75
2624,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3813,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
916,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
3885,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.800000011920929,0.800000011920929,0.6666666865348816
3670,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
2573,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.6666666865348816,0.0
4141,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.0
