distortion_type,condition,notebook02_clean_original_f1,notebook03_distorted_original_f1,notebook04_restored_original_f1,notebook05_distorted_finetuned_f1,restoration_improvement,finetuning_improvement
salt_pepper,Salt & Pepper L4,0.826,0.7246666666666667,0.8206666666666667,0.7870476190476191,0.09599999999999997,0.062380952380952426
overexposure,Overexposure L3,0.826,0.8086666666666666,0.8233333333333333,0.836,0.014666666666666606,0.02733333333333332
motion_blur,Motion Blur L4,0.826,0.638,0.6546666666666667,0.8320000000000001,0.01666666666666672,0.19400000000000006
