target_class,condition,distortion_type,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score
bird,clean,clean,125.66666666666667,inf,1.0,0.8333113168531027,1.0
bird,motion_blur_1,motion_blur,125.66666666666667,28.42064158121745,0.6514955858843071,0.8291792551681311,1.0
bird,motion_blur_3,motion_blur,125.66666666666667,19.23052469889323,0.11575077368269641,0.6652594580854236,1.0
bird,motion_blur_6,motion_blur,125.66666666666667,13.030582110087076,0.009163789390103658,0.37975215225432085,0.3333333333333333
bird,overexposure_1,overexposure,125.66666666666667,16.42345968882243,0.9196770731384555,0.8351071959740216,1.0
bird,overexposure_3,overexposure,125.66666666666667,3.8168609937032065,0.4235102993726421,0.6197723371077445,1.0
bird,overexposure_6,overexposure,125.66666666666667,1.4041797320048015,0.0,0.04877621934676124,0.0
bird,salt_pepper_1,salt_pepper,125.66666666666667,23.60991032918294,0.6114645674972666,0.8343264752451778,1.0
bird,salt_pepper_3,salt_pepper,125.66666666666667,12.2276398340861,0.11501863260548849,0.2803017508303777,1.0
bird,salt_pepper_6,salt_pepper,125.66666666666667,3.9205222924550376,0.051397389066256044,0.0,0.6666666666666666
boat,clean,clean,33.0,inf,1.0,0.6201438568448958,1.0
boat,motion_blur_1,motion_blur,33.0,32.29092025756836,0.7267855647659717,0.6268557587122988,1.0
boat,motion_blur_3,motion_blur,33.0,21.452869415283203,0.2743095845903922,0.6348204695412,0.0
boat,motion_blur_6,motion_blur,33.0,15.67691421508789,0.05426356589147287,0.6288001506875118,0.0
boat,overexposure_1,overexposure,33.0,16.918275833129883,0.8740448400369468,0.5372950000908083,1.0
boat,overexposure_3,overexposure,33.0,5.1436872482299805,0.24295099122144062,0.4192771584563326,1.0
boat,overexposure_6,overexposure,33.0,0.654223620891571,0.0,0.0010652803817964888,0.0
boat,salt_pepper_1,salt_pepper,33.0,23.137081146240234,0.7217314487632509,0.6683022571148185,1.0
boat,salt_pepper_3,salt_pepper,33.0,11.962450981140137,0.17060306297528013,0.6558870193720252,0.0
boat,salt_pepper_6,salt_pepper,33.0,3.726351737976074,0.06687930857084062,0.0,0.0
bottle,clean,clean,226.0,inf,1.0,0.9655689870779491,0.6666666666666666
bottle,motion_blur_1,motion_blur,226.0,25.389217376708984,0.5345386064030132,0.9688203418090872,0.6666666666666666
bottle,motion_blur_3,motion_blur,226.0,16.247108459472656,0.0538951099653589,0.8759600297299529,0.0
bottle,motion_blur_6,motion_blur,226.0,11.74441909790039,0.0,0.7244012495661228,0.0
bottle,overexposure_1,overexposure,226.0,15.329703330993652,0.8585165917868685,0.9664860358482701,0.6666666666666666
bottle,overexposure_3,overexposure,226.0,-0.15762315690517426,0.35109835247129306,0.5295095594347464,0.0
bottle,overexposure_6,overexposure,226.0,-2.8132236003875732,0.0,0.0034138218151540385,0.0
bottle,salt_pepper_1,salt_pepper,226.0,21.436595916748047,0.6392045454545454,0.9650262303272545,1.0
bottle,salt_pepper_3,salt_pepper,226.0,10.123908996582031,0.13909324208725407,0.793400049623687,0.0
bottle,salt_pepper_6,salt_pepper,226.0,2.0366790294647217,0.060686533581015674,0.0,0.0
bus,clean,clean,22.0,inf,1.0,0.877711809561327,0.6666666666666666
bus,motion_blur_1,motion_blur,22.0,27.52914047241211,0.6964974161266508,0.899528335093277,0.6666666666666666
bus,motion_blur_3,motion_blur,22.0,19.924358367919922,0.32881189736885114,0.9180454724520232,0.5
bus,motion_blur_6,motion_blur,22.0,15.21942138671875,0.09364133134624938,0.9392959166526634,0.0
bus,overexposure_1,overexposure,22.0,15.653876304626465,0.9126485568760612,0.8658197865410916,0.6666666666666666
bus,overexposure_3,overexposure,22.0,0.7511537075042725,0.4069525788777631,0.3112593992917907,0.6666666666666666
bus,overexposure_6,overexposure,22.0,-1.0395094156265259,0.0,0.031797982647950904,0.0
bus,salt_pepper_1,salt_pepper,22.0,22.274044036865234,0.6727658777243489,0.873764676070614,0.6666666666666666
bus,salt_pepper_3,salt_pepper,22.0,11.120572090148926,0.14308533726886014,0.8987322179853382,1.0
bus,salt_pepper_6,salt_pepper,22.0,2.969437837600708,0.06169865466129584,0.606941539825215,0.0
car,clean,clean,125.0,inf,1.0,0.6052426882389546,0.6666666666666666
car,motion_blur_1,motion_blur,125.0,27.012537002563477,0.3964319409897933,0.6073710456599657,0.6666666666666666
car,motion_blur_3,motion_blur,125.0,23.60301971435547,0.18996789030634384,0.6011826032832802,0.5
car,motion_blur_6,motion_blur,125.0,20.935222625732422,0.1232806052269601,0.529777582674861,0.0
car,overexposure_1,overexposure,125.0,16.315805435180664,0.8233085647242863,0.4458881195051739,0.6666666666666666
car,overexposure_3,overexposure,125.0,4.798986434936523,0.22281186934748487,0.5216436637390214,0.6666666666666666
car,overexposure_6,overexposure,125.0,2.397799015045166,0.0,0.004877281308999371,0.0
car,salt_pepper_1,salt_pepper,125.0,24.00143051147461,0.6579814885254216,0.5947347740667976,0.6666666666666666
car,salt_pepper_3,salt_pepper,125.0,12.68919849395752,0.12589896738467968,0.48690110927543073,1.0
car,salt_pepper_6,salt_pepper,125.0,4.321589469909668,0.05664859756657785,0.0,0.0
cat,clean,clean,110.2,inf,1.0,0.8023053085946753,0.7333333333333333
cat,motion_blur_1,motion_blur,110.2,23.447568511962892,0.5079543344980889,0.7697915020476129,0.8
cat,motion_blur_3,motion_blur,110.2,17.793241119384767,0.11863240586645189,0.5980022439998807,0.5333333333333333
cat,motion_blur_6,motion_blur,110.2,12.967959785461426,0.021681258402162205,0.5682787835280008,0.0
cat,overexposure_1,overexposure,110.2,16.80354824066162,0.8503692311804676,0.7909902903170991,0.6666666666666666
cat,overexposure_3,overexposure,110.2,1.777900016307831,0.28674662730137535,0.44331155174676357,0.6
cat,overexposure_6,overexposure,110.2,-1.3229886054992677,0.0,0.007592164604580516,0.0
cat,salt_pepper_1,salt_pepper,110.2,21.891962814331055,0.6742313167174623,0.6110584452905006,0.8
cat,salt_pepper_3,salt_pepper,110.2,10.529713439941407,0.17431192222377195,0.38463971816534553,0.6
cat,salt_pepper_6,salt_pepper,110.2,2.339933675527573,0.07416414119423212,0.0,0.2
chair,clean,clean,29.0,inf,1.0,0.8528538976321552,0.5
chair,motion_blur_1,motion_blur,29.0,25.592239379882812,0.65719132011464,0.9432122530967526,0.5
chair,motion_blur_3,motion_blur,29.0,18.822071075439453,0.17946122265339406,0.6500073435303497,0.5
chair,motion_blur_6,motion_blur,29.0,14.088797569274902,0.004099160648057779,0.6203620514977157,0.0
chair,overexposure_1,overexposure,29.0,15.893058776855469,0.9371593258567759,0.8804918341314485,0.5
chair,overexposure_3,overexposure,29.0,1.8358376026153564,0.38082107843137253,0.7467975552578701,0.6666666666666666
chair,overexposure_6,overexposure,29.0,0.01614660583436489,0.0,8.52260621297993e-05,0.0
chair,salt_pepper_1,salt_pepper,29.0,23.012741088867188,0.7144164539280381,0.9265227526097092,0.4
chair,salt_pepper_3,salt_pepper,29.0,11.70097827911377,0.16874292185730463,0.662598417228328,0.5
chair,salt_pepper_6,salt_pepper,29.0,3.4647414684295654,0.07376695473682983,0.6240254175288978,0.0
cow,clean,clean,84.33333333333333,inf,1.0,0.802837851613241,0.5555555555555555
