model,condition,distortion_type,class,mean_snr,class_f1_score,support,predicted_positive
fine_tuned_resnet50,salt_pepper_1,salt_pepper,bus,21.46439849615097,0.8421052631578947,9,10
fine_tuned_resnet50,salt_pepper_1,salt_pepper,car,21.46439849615097,0.7058823529411765,43,42
fine_tuned_resnet50,salt_pepper_1,salt_pepper,cat,21.46439849615097,0.9117647058823529,35,33
fine_tuned_resnet50,salt_pepper_1,salt_pepper,chair,21.46439849615097,0.6464646464646465,58,41
fine_tuned_resnet50,salt_pepper_1,salt_pepper,cow,21.46439849615097,0.6666666666666666,10,17
fine_tuned_resnet50,salt_pepper_1,salt_pepper,diningtable,21.46439849615097,0.6666666666666666,25,32
fine_tuned_resnet50,salt_pepper_1,salt_pepper,dog,21.46439849615097,0.9009009009009009,53,58
fine_tuned_resnet50,salt_pepper_1,salt_pepper,horse,21.46439849615097,0.7142857142857143,14,14
fine_tuned_resnet50,salt_pepper_1,salt_pepper,motorbike,21.46439849615097,0.75,13,11
fine_tuned_resnet50,salt_pepper_1,salt_pepper,person,21.46439849615097,0.8439716312056738,153,129
fine_tuned_resnet50,salt_pepper_1,salt_pepper,pottedplant,21.46439849615097,0.5581395348837209,22,21
fine_tuned_resnet50,salt_pepper_1,salt_pepper,sheep,21.46439849615097,0.7368421052631579,8,11
fine_tuned_resnet50,salt_pepper_1,salt_pepper,sofa,21.46439849615097,0.5230769230769231,39,26
fine_tuned_resnet50,salt_pepper_1,salt_pepper,train,21.46439849615097,0.8,14,21
fine_tuned_resnet50,salt_pepper_1,salt_pepper,tvmonitor,21.46439849615097,0.6818181818181818,20,24
clean_trained_resnet50,salt_pepper_3,salt_pepper,aeroplane,10.162086435854436,0.76,31,19
clean_trained_resnet50,salt_pepper_3,salt_pepper,bicycle,10.162086435854436,0.7272727272727273,18,15
clean_trained_resnet50,salt_pepper_3,salt_pepper,bird,10.162086435854436,0.625,16,16
clean_trained_resnet50,salt_pepper_3,salt_pepper,boat,10.162086435854436,0.72,14,11
clean_trained_resnet50,salt_pepper_3,salt_pepper,bottle,10.162086435854436,0.43243243243243246,28,9
