Class,IoU
train,0.9375
person,0.9085923217550275
cat,0.9038461538461539
bird,0.8666666666666667
aeroplane,0.782608695652174
horse,0.7741935483870968
dog,0.7704918032786885
cow,0.7272727272727273
motorbike,0.6052631578947368
boat,0.6041666666666666
bus,0.5714285714285714
car,0.5340909090909091
tvmonitor,0.48717948717948717
bicycle,0.475
diningtable,0.45454545454545453
chair,0.42016806722689076
sofa,0.3611111111111111
bottle,0.3380281690140845
pottedplant,0.2857142857142857
sheep,0.25
