target_class,condition,distortion_type,severity_level,severity_label,params,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score,dl_jaccard_score
bird,clean,clean,0,Clean,{},125.66666666666667,inf,1.0,0.8336116750139094,1.0,1.0
bird,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},125.66666666666667,28.42064158121745,0.6514955858843071,0.8299180045273623,1.0,1.0
bird,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},125.66666666666667,23.03332010904948,0.2778408545420345,0.7948413804160941,1.0,1.0
bird,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},125.66666666666667,20.75639533996582,0.1652130143455776,0.6775170698830149,1.0,1.0
bird,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},125.66666666666667,19.23052469889323,0.11575077368269641,0.6582831783842376,1.0,1.0
bird,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},125.66666666666667,16.962796847025555,0.06038816588830673,0.5790249846553929,1.0,1.0
bird,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},125.66666666666667,15.060503641764322,0.0325720992552003,0.5394044650928388,1.0,1.0
bird,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",125.66666666666667,16.42345968882243,0.9196770731384555,0.8336865879920156,1.0,1.0
bird,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",125.66666666666667,9.187209129333496,0.8158589455684387,0.8341495734929524,1.0,1.0
bird,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",125.66666666666667,5.7228577931722,0.6578433065376714,0.8275758298256436,1.0,1.0
bird,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",125.66666666666667,4.17281699180603,0.480787436458167,0.7953132439357345,1.0,1.0
bird,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",125.66666666666667,3.169617017110189,0.33745504688025046,0.8125553409554341,1.0,1.0
bird,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",125.66666666666667,2.504333972930908,0.22719057442169935,0.4851287184217174,1.0,1.0
bird,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},125.66666666666667,23.60991032918294,0.6114645674972666,0.835958334948869,1.0,1.0
bird,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},125.66666666666667,20.55518404642741,0.44201383941966427,0.5804736849494821,1.0,1.0
bird,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},125.66666666666667,15.841532071431478,0.21375767579472651,0.5976054507647403,1.0,1.0
bird,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},125.66666666666667,12.2276398340861,0.11501863260548849,0.27380327925233006,1.0,1.0
bird,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},125.66666666666667,9.100504239400228,0.07463244804320847,0.27998034076015726,0.6666666666666666,0.6666666666666666
bird,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},125.66666666666667,6.354635556538899,0.05891931306872844,0.0,0.6666666666666666,0.6666666666666666
boat,clean,clean,0,Clean,{},33.0,inf,1.0,0.6368037795521543,1.0,1.0
boat,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},33.0,32.29092025756836,0.7267855647659717,0.6269391582978391,1.0,1.0
boat,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},33.0,25.400562286376953,0.4406635144562437,0.6181140915112997,1.0,1.0
boat,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},33.0,22.950885772705078,0.3422658120318171,0.6340980708631159,1.0,1.0
boat,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},33.0,21.452869415283203,0.2743095845903922,0.6347891132976581,0.0,0.0
boat,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},33.0,19.359960556030273,0.18737238888016333,0.6316502557056713,0.0,0.0
boat,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},33.0,17.687646865844727,0.1200097370983447,0.6253416483812604,0.0,0.0
boat,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",33.0,16.918275833129883,0.8740448400369468,0.5372950000908083,1.0,1.0
boat,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",33.0,10.861593246459961,0.658695323142122,0.5520868394479973,1.0,1.0
boat,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",33.0,7.805456638336182,0.4285336506677245,0.18180105106676997,1.0,1.0
boat,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",33.0,5.735512733459473,0.2861440346549546,0.09257450963742889,0.0,0.0
boat,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",33.0,3.951507806777954,0.19050596930073907,0.4228172677911514,0.0,0.0
boat,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",33.0,2.555631399154663,0.11374903602511843,0.041545996592844976,0.0,0.0
boat,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},33.0,23.137081146240234,0.7217314487632509,0.6702649656526006,0.6666666666666666,0.5
boat,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},33.0,20.12006378173828,0.555926724137931,0.6265730690577316,1.0,1.0
boat,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},33.0,15.587363243103027,0.3089988081048868,0.6373395925120726,1.0,1.0
boat,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},33.0,11.962450981140137,0.17060306297528013,0.6185891361206929,0.0,0.0
boat,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},33.0,8.815408706665039,0.10259057328128529,0.5358406180117911,0.0,0.0
boat,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},33.0,6.1184306144714355,0.07692307692307693,0.0,0.0,0.0
bottle,clean,clean,0,Clean,{},226.0,inf,1.0,0.9660691954981242,1.0,1.0
bottle,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},226.0,25.389217376708984,0.5345386064030132,0.9668195081283868,1.0,1.0
bottle,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},226.0,19.752315521240234,0.15389577808042434,0.869445602334306,1.0,1.0
bottle,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},226.0,17.549760818481445,0.07205122271079226,0.8313813439654456,1.0,1.0
bottle,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},226.0,16.247108459472656,0.0538951099653589,0.8540393193457789,1.0,1.0
bottle,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},226.0,14.555635452270508,0.03376514834935228,0.8644837088669152,1.0,1.0
bottle,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},226.0,13.177572250366211,0.008754613337910909,0.7998021610105007,1.0,1.0
bottle,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",226.0,15.329703330993652,0.8585165917868685,0.96548561900792,1.0,1.0
bottle,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",226.0,7.380603790283203,0.6994789466272356,0.966902876198416,1.0,1.0
bottle,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",226.0,2.5221588611602783,0.5355795498894237,0.7938878991366315,1.0,1.0
bottle,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",226.0,0.2928179204463959,0.39320570570570573,0.8568215892053973,1.0,1.0
bottle,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",226.0,-0.9477266073226929,0.2748515851964128,0.4848258085973227,0.0,0.0
bottle,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",226.0,-1.877220630645752,0.17798641630043946,0.198162403774522,0.0,0.0
bottle,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},226.0,21.436595916748047,0.6392045454545454,0.9646931468065617,1.0,1.0
bottle,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},226.0,18.460752487182617,0.4803103955759711,0.9153417131440938,1.0,1.0
bottle,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},226.0,13.655609130859375,0.24704914238691594,0.8572608623822898,1.0,1.0
bottle,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},226.0,10.123908996582031,0.13909324208725407,0.7936626127244146,0.0,0.0
bottle,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},226.0,6.948904991149902,0.08835054239478642,0.9407993338884263,0.0,0.0
bottle,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},226.0,4.303203582763672,0.06936446514068341,0.0,0.0,0.0
bus,clean,clean,0,Clean,{},22.0,inf,1.0,0.8797174457546506,0.6666666666666666,0.5
bus,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},22.0,27.52914047241211,0.6964974161266508,0.8980609184233873,0.6666666666666666,0.5
bus,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},22.0,22.31243324279785,0.42622458930312807,0.9343636952268345,0.6666666666666666,0.5
bus,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},22.0,20.888263702392578,0.36583601286173634,0.9384035021043593,0.5,0.3333333333333333
bus,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},22.0,19.924358367919922,0.32881189736885114,0.9318194608587991,0.5,0.3333333333333333
